id,title,body,images,images:title
1,"It's TRUE, you have something to share with the WCET Community","Submit your proposal for the WCET Annual Meeting. Sessions are recognized for the diversity of perspectives, the bold approaches addressed, and the engaging, conversational format among speakers and the audience.","files/slide1.jpg,files/slide2.jpg","This is a caption,The March workshop sold out & this one is on its way."
2,WOW Us!,"The 2015 WCET Outstanding Work Award (WOW) is open for nominations through June 1st. WOW recognizes outstanding efforts by member institutions and organizations in applying an innovative, technology-based solution to a challenging educational need. What work will you nominate?",,
